"Name","id","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Status","Sub-Category","Hours","Created time","Last Updated","Notes"
"Amata",1690,"(212) 308-0830","https://amatanyc.com/","50th - 59th Streets","Restaurant",40.759431,-73.967082,"209 East 56th Street","Open","Italian","
","2020-06-24T14:20:50.000Z","2020-03-31T15:01:00.000Z",
"Bistro Vendome",1807,"(212) 935-9100","http://bistrovendomenyc.com/","50th - 59th Streets","Restaurant",40.75893,-73.961857,"405 East 58th Street","Open","French","3 PM-8 PM, Mondays-Saturdays
","2020-06-24T14:21:37.000Z","2020-03-31T15:01:00.000Z",
"Jubilee Restaurant",1808,,"https://jubilee.nyc/","50th - 59th Streets","Restaurant",40.755151,-73.964919,"948 1st Avenue","Open","French","
","2020-06-24T14:21:37.000Z","2020-03-31T15:01:00.000Z",
"Morso",1809,"(212) 759-2706","https://morso-nyc.com/","50th - 59th Streets","Restaurant",40.758705,-73.96066,"420 East 59th Street","Open","Italian","2 PM-8 PM
","2020-06-24T14:21:37.000Z","2020-03-31T16:05:00.000Z",
"Bloom's Tavern",1810,"Call 212-308-9400 or text 646-221-7654","https://bloomsnyc.com/","50th - 59th Streets","Restaurant",40.760469,-73.966587,"208 East 58th Street","Open","American/Irish","4 PM - 9 PM, Mondays-Wednesdays; 12 PM - 9 PM, Thursdays-Sundays
","2020-06-24T14:21:37.000Z","2020-03-31T16:33:00.000Z",
"Chola",1811,"(212) 688-4619","http://cholany.com/","50th - 59th Streets","Restaurant",40.760159,-73.965824,"232 East 58th Street","Open","Indian","
","2020-06-24T14:21:37.000Z","2020-03-31T16:37:00.000Z",
"Empire Steak House",1812,"(212) 582-6900","https://www.empiresteakhousenyc.com/location/empire-steak-house-midtown-east/","50th - 59th Streets","Restaurant",40.756255,-73.971184,"151 East 50th Street","Open","Steakhouse","
","2020-06-24T14:21:37.000Z","2020-03-31T16:39:00.000Z",
"La Villetta",1813,"(212) 829-0003","https://www.lavillettanyc.com/","50th - 59th Streets","Restaurant",40.754909,-73.965041,"398 East 52nd Street","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-03-31T16:47:00.000Z",
"Land of Plenty",1814,"(212) 308-8788","http://www.landofplenty58.com/","50th - 59th Streets","Restaurant",40.760479,-73.966715,"204 East 58th Street","Open","Chinese","
","2020-06-24T14:21:37.000Z","2020-03-31T16:50:00.000Z",
"New York Lunchonette",1815,"(212) 838-0165","http://nyluncheonette.dinehere.us/?fbclid=IwAR0dAVrFXDws_HYGFS2B2j6cuAo1P08rYVFqenJeMIIFvuR","50th - 59th Streets","Restaurant",40.756433,-73.971725,"135 East 50th Street","Open","American","
","2020-06-24T14:21:37.000Z","2020-03-31T16:52:00.000Z",
"Yara",1816,"(646) 476-7592","https://www.yaranyc.com/","50th - 59th Streets","Restaurant",40.756562,-73.966117,"319 East 53rd Street","Open","Lebanese","
","2020-06-24T14:21:37.000Z","2020-03-31T16:58:00.000Z",
"The Capital Grille",1817,"(212) 953-2000","https://www.grandcentralpartnership.nyc/wp-content/uploads/2020/03/Capital-grille-Take-Out-Menu.pdf","40th-49th Streets","Restaurant",40.751283,-73.974928,"155 East 42nd Street","Open","Steakhouse","
","2020-06-24T14:21:37.000Z","2020-03-31T17:40:00.000Z",
"Sticky's",1818,"(646) 490-5856","https://www.stickys.com/","30th-39th Streets","Restaurant",40.745051,-73.978944,"484 3rd Avenue","Open","American","Find hours here: <https://www.stickys.com/covid-19/>
","2020-06-24T14:21:37.000Z","2020-03-31T17:44:00.000Z",
"Bite",1819,"(212) 677-3123","https://www.bitenyc.com/","14th-19th Streets","Restaurant",40.733144,-73.986164,"211 East 14th Street","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-03-31T19:08:00.000Z",
"Ess-a-Bagel",1820,"(212) 980-1010","https://www.ess-a-bagel.com/","50th - 59th Streets","Restaurant",40.756157,-73.970175,"831 3rd Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-01T22:23:00.000Z",
"Hillstone",1821,"(212) 888-3828","https://hillstonerestaurant.com/locations/nyc-midtown/","50th - 59th Streets","Restaurant",40.758407,-73.969943,"888 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-01T22:28:00.000Z",
"Little Roma Pizza",1822,"(212) 813-9300","http://littleromapizzanyc.com/","50th - 59th Streets","Restaurant",40.755928,-73.967445,"982 Second Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-01T22:31:00.000Z",
"Buttercup Bake Shop",1823,"(212) 350-4144","https://www.buttercupbakeshop.com/","50th - 59th Streets","Restaurant",40.755953,-73.968091,"973 2nd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-01T22:34:00.000Z",
"Libretto's",1824,"(212) 213-6445","https://www.librettospizzany.com/","30th-39th Streets","Restaurant",40.747319,-73.977328,"546 3rd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-01T23:38:00.000Z",
"Patrizia's of Manhattan",1825,"(212) 597-9999","https://www.patrizias.com/location/manhattan/#menus/","20th-29th Streets","Restaurant",40.739802,-73.97883,"462-466 2nd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-02T02:05:00.000Z",
"Poulette",1826,"(646) 708-0199","https://poulettenyc.com/pages/locations","40th-49th Streets","Restaurant",40.753938,-73.96864,"304 East 49th Street","Open","French","
","2020-06-24T14:21:37.000Z","2020-04-02T20:19:00.000Z",
"La Vera",1827,"(212) 213-2222","http://laverapizzerianyc.com/","20th-29th Streets","Restaurant",40.740665,-73.98215,"350 3rd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-04T01:12:00.000Z",
